#Fastq_screen version: 0.11.1	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Drosophila	100479	28701	28.58	41701	41.50	7400	7.36	16523	16.44	6154	6.12
yakuba	100479	70098	69.77	6974	6.94	1679	1.67	16393	16.31	5335	5.31
Human	100479	94499	94.05	2254	2.24	738	0.73	218	0.22	2770	2.76
aPasteurianus	100479	100458	99.98	15	0.01	0	0.00	0	0.00	6	0.01
yeast	100479	99545	99.08	290	0.29	13	0.01	25	0.02	606	0.60
wolbachia	100479	100278	99.80	170	0.17	29	0.03	2	0.00	0	0.00
bovine	100479	98150	97.69	9	0.01	4	0.00	192	0.19	2124	2.11
ecoli	100479	100471	100.00	5	0.00	0	0.00	0	0.00	3	0.00
pseudomonas	100479	100467	99.99	8	0.01	1	0.00	1	0.00	2	0.00
variovorax	100479	100466	99.99	6	0.01	3	0.00	2	0.00	2	0.00
mouse	100479	97451	96.99	7	0.01	31	0.03	165	0.16	2825	2.81
rabbit	100479	95201	94.74	1636	1.63	760	0.76	193	0.19	2689	2.68

%Hit_no_genomes: 13.29
